Directory,Other,Vocals,Bass,Drums,,
Moosmusic - Big Dummy Shake,6.033900187,11.0728244,8.791553551,12.35551458,,
The Mountaineering Club - Mallory,5.358797471,12.25871297,12.53160545,10.99676254,,
Bobby Nobody - Stitch Up,4.534941452,9.431187322,6.993431467,6.568414475,,
Punkdisco - Oral Hygiene,-2.626347539,6.434662748,10.13213552,9.750133499,,
Lyndsey Ollard - Catching Up,4.136342554,13.78136395,10.5469182,8.479380636,,
Al James - Schoolboy Facination,-1.518499203,7.164011725,10.07359359,6.063979606,,
James Elder & Mark M Thompson - The English Actor,6.141616072,8.056698629,7.740117186,10.51405678,,
The Easton Ellises - Falcon 69,1.932331408,3.850492086,8.356319118,9.958681712,,
Secretariat - Borderline,8.217350973,8.787489742,5.929300668,7.389610715,,
The Long Wait - Dark Horses,6.077222252,9.180492047,8.891048236,9.147923989,,
Sambasevam Shanmugam - Kaathaadi,6.823158981,13.60410708,11.82054534,5.213907563,,
Signe Jakobsen - What Have You Done To Me,4.398082127,11.07674821,3.191537476,4.772957808,,
Girls Under Glass - We Feel Alright,3.75262932,6.184399071,3.520215861,7.788482988,,
Mu - Too Bright,6.205309659,10.38503326,4.04431854,15.84032183,,
Speak Softly - Broken Man,7.210377469,5.968672645,14.42890356,12.06043263,,
Georgia Wonder - Siren,5.888794905,5.119383879,13.7568762,11.19555225,,
Arise - Run Run Run,-0.292053066,8.731147512,6.90590196,-1.199987971,,
Juliet_s Rescue - Heartbeats,6.034828347,8.838832502,2.366527282,16.33730598,,
Raft Monk - Tiring,3.653909898,5.262033539,8.180996556,7.801790679,,
Little Chicago_s Finest - My Own,2.121997693,11.19462076,16.36989024,12.13281121,,
M.E.R.C. Music - Knockout,5.642087578,9.276872305,12.21508277,10.27026449,,
Triviul feat. The Fiend - Widow,2.356986586,9.048230699,16.45117281,6.978232823,,
Tom McKenzie - Directions,1.912312518,11.96267826,5.855279177,15.99800084,,
Timboz - Pony,7.882167579,4.79346216,3.841187841,4.364188559,,
BKS - Bulldozer,5.621772974,2.668528766,9.890447019,12.61371397,,
The Sunshine Garcia Band - For I Am The Moon,-0.234701503,10.99671369,8.544529636,9.897479827,,
Ben Carrigan - We_ll Talk About It All Tonight,4.279375866,5.132103175,11.94237567,9.407294261,,
The Easton Ellises (Baumi) - SDRNR,-1.449191112,6.345899832,4.619973412,9.286157793,,
AM Contra - Heart Peripheral,-2.708981267,11.6285875,-3.205290314,7.510363168,,
The Doppler Shift - Atrophy,6.34412355,9.827681451,2.434785735,9.926766127,,
Motor Tapes - Shore,8.878737773,8.613010691,11.0393157,8.048268065,,
Detsky Sad - Walkie Talkie,-0.388684209,5.75104748,-1.758892123,6.352074939,,
Buitraker - Revo X,3.231818205,5.686216256,9.822521775,14.07752831,,
Zeno - Signs,5.836994815,8.628934546,0.382980622,9.700248889,,
Hollow Ground - Ill Fate,5.471479291,7.289745716,1.434130987,6.310105934,,
Cristina Vane - So Easy,4.048660085,10.59113068,6.650578879,12.81671124,,
Speak Softly - Like Horses,6.586509529,7.869938685,18.87396973,7.124282785,,
Angels In Amplifiers - I_m Alright,6.451489759,10.55803441,9.217106071,8.666418769,,
Side Effects Project - Sing With Me,2.352528894,13.06603328,12.80750247,15.15296344,,
Skelpolu - Resurrection,2.976547304,-3.033020702,16.33720357,13.22986527,,
Nerve 9 - Pray For The Rain,6.331599203,8.946914631,8.687180127,13.58160401,,
BKS - Too Much,5.329419098,12.31112839,13.6984089,10.16695565,,
Carlos Gonzalez - A Place For Us,4.487639515,6.702018459,0.896555921,6.871656551,,
Secretariat - Over The Top,7.032842381,9.956402813,12.46263777,8.795409592,,
We Fell From The Sky - Not You,8.05523847,5.89179883,2.84077527,12.48229634,,
Enda Reilly - Cur An Long Ag Seol,6.758148808,11.50338253,-1.127640225,8.364026286,,
Forkupines - Semantics,5.120719766,7.238035496,7.662334093,12.55505659,,
PR - Happy Daze,-3.160687584,-5.603220785,5.199322722,11.79381939,,
PR - Oh No,-2.866303539,-0.625668875,5.468449029,11.95472493,,
,,,,,,
Average,4.005415128,7.947051723,7.913382062,9.744173721,,7.402505659
Median,5.120719766,8.731147512,8.356319118,9.750133499,,8.543733315
