Directory,Other,Vocals,Bass,Drums
Moosmusic - Big Dummy Shake,nan,nan,nan,nan
The Mountaineering Club - Mallory,8.438968972989576,nan,nan,nan
Bobby Nobody - Stitch Up,nan,nan,4.015529109914,5.014833566706097
Punkdisco - Oral Hygiene,nan,nan,nan,nan
Lyndsey Ollard - Catching Up,5.798318626317293,7.04741102878937,nan,nan
Al James - Schoolboy Facination,nan,nan,nan,nan
James Elder & Mark M Thompson - The English Actor,8.916682081052073,nan,nan,12.993695861295507
The Easton Ellises - Falcon 69,5.769364948206475,nan,nan,nan
Secretariat - Borderline,13.300907462255434,nan,10.050422479025213,nan
The Long Wait - Dark Horses,nan,nan,nan,nan
Sambasevam Shanmugam - Kaathaadi,14.10554303679078,nan,nan,nan
Signe Jakobsen - What Have You Done To Me,5.839951616348107,9.511031044760337,6.464773723084973,7.37393892911398
Girls Under Glass - We Feel Alright,nan,nan,nan,nan
Mu - Too Bright,nan,nan,nan,nan
Speak Softly - Broken Man,nan,nan,nan,15.975657515829571
Georgia Wonder - Siren,nan,nan,nan,nan
Arise - Run Run Run,nan,nan,12.98713302224072,nan
Juliet_s Rescue - Heartbeats,nan,nan,nan,nan
Raft Monk - Tiring,nan,nan,nan,nan
Little Chicago_s Finest - My Own,7.958365934740047,nan,nan,nan
M.E.R.C. Music - Knockout,nan,nan,nan,nan
Triviul feat. The Fiend - Widow,5.714215694739115,nan,nan,nan
Tom McKenzie - Directions,11.976580826390984,nan,nan,nan
Timboz - Pony,6.734163264645768,2.1653718040307965,3.2078065338904325,4.025790436768117
BKS - Bulldozer,4.229240381331565,3.780963904544768,10.922399107120894,14.94472781344386
The Sunshine Garcia Band - For I Am The Moon,nan,nan,nan,nan
Ben Carrigan - We_ll Talk About It All Tonight,nan,nan,nan,nan
The Easton Ellises (Baumi) - SDRNR,0.12621194398965263,-4.088833065116885,6.139422610608278,8.674615248250738
AM Contra - Heart Peripheral,1.5706041584568609,12.890958856983845,-0.7576975197599396,10.81702724952403
The Doppler Shift - Atrophy,15.406448556771323,10.935443798328825,12.013956689357812,13.898175350903912
Motor Tapes - Shore,nan,nan,nan,nan
Detsky Sad - Walkie Talkie,nan,nan,nan,9.60332769587509
Buitraker - Revo X,2.7650771447661255,nan,nan,nan
Zeno - Signs,11.218691683847267,nan,nan,nan
Hollow Ground - Ill Fate,6.238165271711298,nan,2.174418072916285,7.009303250314557
Cristina Vane - So Easy,4.95324998019976,nan,nan,12.015348388048004
Speak Softly - Like Horses,nan,nan,nan,nan
Angels In Amplifiers - I_m Alright,2.210943445372756,4.35587864441023,7.786864241774343,11.546714261684722
Side Effects Project - Sing With Me,nan,nan,nan,nan
Skelpolu - Resurrection,nan,nan,nan,nan
Nerve 9 - Pray For The Rain,13.079497911671027,nan,nan,nan
BKS - Too Much,11.271631320563868,nan,nan,nan
Carlos Gonzalez - A Place For Us,10.499150608500903,13.872461595208543,-4.951505556716788,12.799416185687583
Secretariat - Over The Top,nan,nan,nan,nan
We Fell From The Sky - Not You,nan,nan,nan,nan
Enda Reilly - Cur An Long Ag Seol,10.6507627563703,nan,1.2595374892163314,nan
Forkupines - Semantics,nan,nan,nan,nan
PR - Happy Daze,-0.42657325798919327,4.425007622969765,-0.5586387052381546,20.83403104785217
PR - Oh No,-8.016376761794204,-10.955108975025652,9.477440962751903,12.336743996365021
